"year","grid_pt","last_snow","snowmelt","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"2008","71",120,162,150.930121478058,150.930121478058,0.599059947989902,108.711438053044,192.910565208824
"2008","72",176,183,179.5,167.162733540033,0.607821241837729,124.503790232552,210.036835617644
"2008","73",183,190,186.5,179.991203512041,0.602912832619861,137.951895497442,222.242624159094
"2008","74",190,197,192.35604449311,192.35604449311,0.606186572829855,149.763129983756,234.594091857157
"2008","75",190,197,193.5,186.761236215353,0.606681402194804,144.034550834306,230.083440270307
"2008","76",183,190,189.302035636836,189.302035636836,0.606511292036709,146.549894365535,231.714626908988
"2008","77",162,169,165.5,158.071711920974,0.607589007705656,115.05682776319,200.685752972418
"2008","78",120,162,128.83794371219,128.83794371219,0.603118354113528,86.358901376591,171.135195820725
"2008","79",120,162,139.981033625956,139.981033625956,0.60364362872462,97.3304814496884,182.278522870067
"2008","80",120,162,140.194150287951,140.194150287951,0.60734416576296,97.5005660914299,182.666607261979
"2008","101",30,46,38,87.0030733807852,0.60474551280422,44.5935434363175,129.580027441971
"2008","201",30,46,38,89.0430285661055,0.599317680990825,47.039007453885,130.753993872009
"2008","301",30,46,38,103.285780272278,0.601201225490278,60.748026560574,145.549501605893
"2008","401",30,46,38,103.507683958083,0.605205419075169,61.0134196703249,146.097003660499
"2008","501",46,53,49.5,107.972442862994,0.602656781320989,65.6957857127575,150.416338802562
"2008","601",46,53,49.5,104.156169297156,0.60394298812554,62.0087876207904,147.129890494605
"2008","701",46,53,49.5,104.403044627757,0.601262927932816,61.9866382827365,146.943840620859
"2008","801",120,162,131.227307982958,131.227307982958,0.604343507911107,88.766025396037,173.298948406554
"2009","1",167,176,171.5,185.466033642371,0.603188936188139,142.786508818085,228.10022820058
"2009","2",167,176,171.5,183.73694392744,0.604092724706591,141.273257220222,226.112865841437
"2009","3",167,176,171.5,181.403576944389,0.60382833063025,139.038549365218,223.943206193306
"2009","4",167,176,171.5,176.883121585449,0.60320396081569,134.378972663639,219.313015882295
"2009","5",167,176,171.5,178.343875357948,0.603400572565649,135.748225463181,220.803301846597
"2009","6",167,176,171.5,176.546722704658,0.603614021582726,134.065879549914,218.84447020335
"2009","7",147,155,151,158.347696013603,0.604207780769729,115.503599475779,200.88403638785
"2009","8",147,155,151,155.91447118181,0.599943336573243,113.572877046642,198.055139336753
"2009","9",147,155,153.498724686188,153.498724686188,0.602867380589564,110.875377365204,195.448007592341
"2009","10",147,155,151,106.05084577406,0.601713111278858,63.2535325575071,148.036528022358
"2009","11",176,181,178.5,188.514952347831,0.601516797299245,146.443321044428,230.821811370062
"2009","12",167,176,171.5,184.170352148853,0.601443407704891,141.785225999589,226.4367660661
"2009","13",181,195,194.924329953007,194.924329953007,0.605096322738662,152.258609451496,237.552753080559
"2009","14",176,181,178.5,182.537458795003,0.602608878527293,140.477003813259,224.704894824988
"2009","15",167,176,171.5,178.482916549671,0.599493587108396,136.471051782817,220.356048807415
"2009","16",167,176,169.314507759845,169.314507759845,0.600284030222613,127.246147414397,211.052197296338
"2009","17",147,155,151,160.680835200561,0.600805433266187,118.343851902259,202.950490531001
"2009","18",118,134,126,141.619797050914,0.604067090247789,99.2762435034215,183.766638579687
"2009","19",147,155,151,135.874335338958,0.602054652596765,93.311914216356,178.016476719675
"2009","20",147,155,151,110.582031531915,0.601068046972768,68.1743881385424,152.789824182122
"2009","21",167,176,171.5,189.465430493854,0.604770403763196,147.251904901549,231.632042254198
"2009","22",167,176,171.5,187.023575692145,0.604555666603213,144.816559900855,229.621114164681
"2009","23",181,195,188,195.128623329185,0.603008628507366,152.601298627969,237.199957541798
"2009","24",181,195,194.512292181698,194.512292181698,0.603828830039777,152.271689439827,236.900124370857
"2009","25",167,176,175.902382849832,175.902382849832,0.601883053320142,133.423144422256,218.25801571385
"2009","26",160,167,161.057900173223,161.057900173223,0.60670379151186,118.068338207849,203.709752707575
"2009","27",147,155,151,165.688226006917,0.602766938442149,123.553856527805,208.132001665648
"2009","28",167,176,168.446814127263,168.446814127263,0.60277244520621,126.131444527594,210.824731210633
"2009","29",147,155,151,136.534735298388,0.604228605358916,94.1377417289279,179.041431441322
"2009","30",147,155,151,116.850960653891,0.604492297801823,74.6808069202655,159.877981514354
"2009","31",167,176,171.5,184.221681716988,0.60407851287496,141.300093731341,226.630076340521
"2009","32",167,176,171.5,186.418642792361,0.601645187016407,144.234654550376,228.70463226462
"2009","33",176,181,178.5,193.302118046756,0.608431162543913,150.733574548163,235.991713521263
"2009","34",181,195,194.657533329864,194.657533329864,0.602559312785051,152.386715960344,237.253876316496
"2009","35",181,195,192.995392181023,192.995392181023,0.600776181986132,150.433516111685,235.222694317089
"2009","36",155,160,157.5,164.84896464646,0.603399098224069,122.528380445986,207.475133591472
"2009","37",147,155,151,165.646631525007,0.599389260860401,123.565788623932,207.806602954071
"2009","38",167,176,173.045087063744,173.045087063744,0.601533065273445,131.190610222756,215.270870379749
"2009","39",147,155,151,141.4512640318,0.601868995846727,99.0378137791863,183.878551078384
"2009","40",147,155,151,117.923014979667,0.600943486522788,75.4654176165183,160.059392171158
"2009","41",167,176,171.5,184.71139723527,0.603850618337306,142.597275044049,226.962455072025
"2009","42",176,181,178.5,187.943919636644,0.60334749374946,145.758768336423,230.416271410357
"2009","43",181,195,188,197.799615666819,0.601742281482113,155.579606277197,240.23796511272
"2009","44",181,195,188,199.714512853632,0.605196186791653,157.178389039403,241.991568581043
"2009","45",181,195,188,203.442774715336,0.608232294804182,160.921088574489,246.128475391371
"2009","46",181,195,190.975512227529,190.975512227529,0.601597384221781,149.081198153381,233.699360693324
"2009","47",167,176,171.5,165.880495012258,0.605513515841735,122.898470696472,208.672682110695
"2009","48",147,155,147.118734086503,147.118734086503,0.603844367556801,104.931522869231,189.747127846975
"2009","49",147,155,152.536325300371,152.536325300371,0.605245447290887,110.256109030592,195.674147420055
"2009","50",147,155,151,129.2395802888,0.601014729470287,86.7480646172057,171.335916150537
"2009","51",167,176,171.5,177.975417802981,0.603446418171201,135.617511180668,220.538001702121
"2009","52",167,176,172.106321017755,172.106321017755,0.600697390773798,129.636343512446,214.464146944877
"2009","53",181,195,188,197.930124166973,0.603936944987039,155.31063165256,240.882991060898
"2009","54",181,195,188,202.279709245567,0.60399490041732,159.562274697745,244.819950254881
"2009","55",195,202,198.5,216.160559176745,0.605135781745479,173.76638529513,258.829403272937
"2009","56",202,209,205.5,215.20784514077,0.605800083680094,172.869176310999,258.157720395433
"2009","57",167,176,171.5,161.115153141988,0.604028123036388,119.2181037494,203.640524205074
"2009","58",147,155,151,158.504492954056,0.600211660034173,116.804557601719,200.573166616423
"2009","59",147,155,151,143.120885232209,0.598025144073135,100.675902540493,185.216780172411
"2009","60",147,155,147.270963352569,147.270963352569,0.604482903844013,104.481483119843,189.913584979253
"2009","61",147,155,151,161.177703056725,0.603488573754007,118.902565707055,204.015849825224
"2009","62",176,181,178.5,189.154081935178,0.60378516395736,146.55489713542,231.303140860863
"2009","63",181,195,188,199.52598304335,0.600640203882459,157.400879459109,241.938558919555
"2009","64",167,176,171.5,179.67308217629,0.606282477633361,136.769463959787,222.112512824668
"2009","65",202,209,205.5,217.881043334042,0.610802333515766,174.943759815194,260.999212422279
"2009","66",202,209,205.5,214.218966092923,0.60965066002991,171.649129429189,257.070063551782
"2009","67",147,155,151,160.270176308336,0.601684597750598,118.132203755896,203.022919515577
"2009","68",147,155,154.606927840907,154.606927840907,0.59813114346972,112.510677307265,196.815196495598
"2009","69",147,155,151,142.548113211867,0.607104705742078,100.164151911869,185.495314143764
"2009","70",147,155,151,137.343260241879,0.602930737736819,94.9228075353204,179.661002638424
"2009","71",155,160,157.5,163.846802118771,0.599530326770078,121.494897443425,205.756931263708
"2009","72",167,176,171.5,179.85404669255,0.602900583011426,137.675080831371,222.398513098617
"2009","73",167,176,171.5,192.757457379698,0.603247673942568,150.462533421532,235.136739672523
"2009","74",181,195,188,205.12013417639,0.605818434065803,162.33671137905,247.590561906876
"2009","75",181,195,188,199.41959865702,0.606824415510349,156.82233142867,242.144007116486
"2009","76",181,195,188,202.016371665447,0.604376330468775,159.454286857333,244.730358475539
"2009","77",167,176,170.556708978874,170.556708978874,0.602031641361682,128.369819108902,212.73818797731
"2009","78",147,155,151,141.56782455905,0.601641393755036,99.2709517918308,183.583041365409
"2009","79",155,160,157.5,152.871456981127,0.603350780805394,110.693515120574,195.264660126051
"2009","80",155,160,157.5,152.92654988495,0.60395312205562,110.261097665912,195.280624695376
"2009","101",147,155,151,99.8044546027878,0.6026677747671,56.974316705626,141.980288773506
"2009","201",147,155,151,101.530985135935,0.60644067158427,58.5681374918256,143.987805536628
"2009","301",147,155,151,116.048712125851,0.603256791092073,73.5586836886363,158.13556635265
"2009","401",147,155,151,116.397129866408,0.602170361500427,74.3298481355026,158.723942196469
"2009","501",147,155,151,120.540310821301,0.601314843221766,77.8844947515161,162.42546617436
"2009","601",147,155,151,116.930575174277,0.603330138233192,74.6069688112005,159.090743036227
"2009","701",147,155,151,117.197323467893,0.597095405458362,75.2711908973807,159.477456441862
"2009","801",147,155,151,143.896116317633,0.601720666825421,101.869196103143,186.58514532232
"2010","1",173,180,176.5,189.136593308794,0.605058509326698,146.373283531325,231.498073477116
"2010","2",173,180,176.5,187.576918538018,0.603150447617337,145.263786610624,230.251132372675
"2010","3",166,173,169.5,185.275387255105,0.60530319134548,142.622250901518,227.917692207035
